id,name,lat,long,street
1550,Wola Batorska Zamoglice,50.064300277,20.302278055,Wola Batorska
1551,Zabierzów Bocheński Centrum,50.067754722,20.318955833,Zabierzów Bocheński
1552,Wola Zabierzowska Chałupki,50.070179722,20.334790277,Wola Zabierzowska
1553,Chobot Kapliczka,50.073618888,20.347514444,Chobot
1554,Chobot Leśniczówka,50.080205555,20.352612222,Chobot
1555,Wolica Most 01,50.051725277,20.207439166,Brzeska
1556,Wolica Kościół 02,50.055009722,20.2023775,Drożyska
1557,Wolica Szkoła 02,50.055857777,20.193374444,Drożyska
1558,Bartnicza 02,50.056690277,20.1869325,Drożyska
1559,Siejówka 02,50.057321388,20.1805375,Drożyska
1560,Przylasek Wyciąski 02,50.059042222,20.176768888,Drożyska
1561,Drożyska 01,50.065088055,20.168318611,Wyciąska
1562,Podstawie 01,50.068779444,20.166985,Wyciąska
1563,Tymiankowa 01,50.069689166,20.162439166,Wyciąska
1564,Wyciąże Sklep 01,50.072271666,20.158387777,Wyciąska
1565,Bielany Klasztor 01,50.04348,19.83093,Księcia Józefa
1566,Bielany 03,50.043294444,19.820682777,Księcia Józefa
1567,Bielany Obwodnica,50.043324444,19.8081825,Kryspinów
1568,Kryspinów Rondo,50.043626111,19.798126666,Kryspinów
1569,Kryspinów Sanka,50.041948055,19.786686388,Kryspinów
1570,Liszki Mazurowa,50.038935555,19.773340555,Liszki ul. Krakowska
1571,Jeziorzany Pętla,49.987069722,19.778519166, 
1572,Jeziorzany Górskie Domy,49.981628333,19.766688055,Jeziorzany
1573,Wołowice Grotowa,49.983763611,19.758980555,Wołowice ul. Skawińska
1574,Wołowice Grotowa Skrzyżowanie,49.984623611,19.754590555,Wołowice ul. Skawińska
1575,Wołowice Zawierzbie,49.981737222,19.745028888,Wołowice ul. Skawińska
1576,Bielany Obwodnica 02,50.041869444,19.811845,Księcia Józefa
1577,Bielany 02,50.04298,19.819320555,Księcia Józefa
1578,Bielany Szkoła 02,50.04408,19.82767,Księcia Józefa
1579,Bielany Klasztor 02,50.04332,19.83123,Księcia Józefa
1580,Liszki Wołowska Droga,50.0310275,19.749321111,Liszki ul. Czernichowska
1581,Rączna Dzikowiec,50.017283055,19.746018055,Rączna
1582,Rączna Podlas,50.012295,19.7451675,Rączna
1583,Rączna Kościół,50.011003055,19.756831111,Rączna
1584,Bronowice 01,50.077246,19.901982, 
1585,Jarzębiny 02,50.092061,20.061073,Kocmyrzowska
1586,Darwina 02,50.089892,20.059126,Kocmyrzowska
1587,Wańkowicza 01,50.086978,20.04756,Kocmyrzowska
1588,Cienista 01,50.08539,20.03852,Kocmyrzowska
1589,Teatr Ludowy 01,50.082264,20.032708,Kocmyrzowska
1590,Rondo Mogilskie 05,50.066002,19.958722,Tunel
1591,Dworzec Główny Tunel 02,50.068258,19.947641,Tunel
1592,Politechnika 03,50.071143,19.945072,Tunel
1593,Krowodrza Górka P+R 03,50.089389,19.93163, 
1594,Dworzec Towarowy 02,50.07592,19.94038, 
1595,Politechnika 04,50.071056,19.945016,Tunel
1596,Dworzec Główny Tunel 01,50.068199,19.947649,Tunel
1597,Rondo Kocmyrzowskie im. Ks. Gorzelanego 03,50.080062,20.028408,Kocmyrzowska
1598,Teatr Ludowy 02,50.081863,20.032035,Kocmyrzowska
1599,Cienista 02,50.08492,20.03772,Kocmyrzowska
1600,Wańkowicza 02,50.086937,20.047608,Kocmyrzowska
1601,Darwina 01,50.089985,20.059244,Kocmyrzowska
1602,Bieżanowska 03,50.023562,19.97926,Nowosądecka
1603,Dauna 01,50.018289,19.977516,Nowosądecka
1604,Piaski Nowe 01,50.015482,19.971574,Nowosądecka
1605,Nowosądecka 01,50.013455,19.964635,Witosa
1606,Witosa 01,50.012338,19.956857,Witosa
1607,Kurdwanów P+R 08,50.01359,19.95044,Witosa
1608,Kurdwanów P+R 10,50.01407,19.94809,Witosa
1609,Turowicza 02,50.01511,19.94435,Trasa Łagiewnicka
1610,Sanktuarium Bożego Miłosierdzia 02,50.01779,19.93633,Trasa Łagiewnicka
1611,Łagiewniki SKA 02,50.022103,19.932601,Zakopiańska
1612,Łagiewniki 05,50.029682,19.935452,Brożka
1613,Brożka 02,50.03053,19.93173,Brożka
1614,Borsucza 02,50.03055,19.929101,Brożka
1615,Borsucza 01,50.030504,19.928538,Brożka
1616,Brożka 01,50.030494,19.931874,Brożka
1617,Łagiewniki 04,50.029498,19.935946,Brożka
1618,Łagiewniki ZUS 01,50.024577,19.933922,Zakopiańska
1619,Łagiewniki SKA 03,50.02111,19.93288,Trasa Łagiewnicka
1620,Sanktuarium Bożego Miłosierdzia 01,50.01777,19.93626,Trasa Łagiewnicka
